ProcPress (bar),ExtPress (bar),ProcTempr *C,ChmbrTempr *C,SGTempr *C,ExtTmpr *C,ProcType,V1,V2,V3,V5,Vacuum,Water,ChHeat,ShdHeat,SgsHeat,ChTar *C,ChPWR %,SgTar *C,SgPWR %
1.013292908668518,1.006269454956055,80.27666473388672,94.96143341064452,154.198486328125,36.21534729003906,4,False,False,False,False,False,False,False,False,False,0,0,0,0
1.0136244297027588,1.006269454956055,80.09696960449219,94.94031524658205,154.1759796142578,36.21534729003906,4,False,False,False,False,False,False,False,False,False,0,0,0,0
1.0137627124786377,1.006269454956055,79.90727233886719,94.91961669921876,154.13168334960938,36.21534729003906,4,False,False,False,False,False,False,False,False,False,0,0,0,0
1.0139124393463137,1.006269454956055,79.69232940673828,94.8843231201172,154.09002685546875,36.21534729003906,4,False,False,False,False,False,False,False,False,False,0,0,0,0
0.9835907220840454,1.0063170194625854,79.44978332519531,94.7611083984375,153.8930206298828,36.19786071777344,4,False,True,False,True,False,False,False,False,False,136,100,210,100
0.9940817952156068,1.0063104629516602,79.24971008300781,94.71954345703124,153.82473754882812,36.23453521728516,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.9973212480545044,1.0063122510910034,79.08084106445312,94.68540954589844,153.81224060058594,36.24861145019531,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.9982396364212036,1.0063127279281616,78.90220642089844,94.66632080078124,153.8299560546875,36.2715072631836,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.9981062412261964,1.006307601928711,78.72942352294922,94.6736068725586,153.8676300048828,36.27434539794922,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.99855637550354,1.0063014030456543,78.5597915649414,94.7291030883789,153.91192626953125,36.25927734375,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.9990129470825196,1.0062952041625977,78.38923645019531,94.8087387084961,153.95567321777344,36.29041290283203,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.9993104338645936,1.0062925815582275,78.23786163330078,94.9379653930664,153.992919921875,36.28984832763672,4,False,True,False,True,False,False,True,False,False,136,100,210,100
0.9993537664413452,1.006301760673523,78.08097076416016,95.10994720458984,154.02078247070312,36.351837158203125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.000370740890503,1.0063025951385498,77.93030548095703,95.30730438232422,154.03897094726562,36.33832550048828,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.000574231147766,1.0063029527664185,77.7940444946289,95.5385513305664,154.05816650390625,36.33292388916016,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.001533031463623,1.006295680999756,77.64903259277344,95.77996063232422,154.05665588378906,36.32865905761719,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.001922369003296,1.00628924369812,77.5116195678711,96.03917694091795,154.06295776367188,36.36690521240234,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0015949010849,1.0062806606292725,77.37642669677734,96.31332397460938,154.057373046875,36.385528564453125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0024951696395874,1.0062812566757202,77.26006317138672,96.57806396484376,154.03855895996094,36.37571716308594,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.00282883644104,1.0062748193740845,77.13672637939453,96.86283111572266,154.04014587402344,36.367469787597656,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.002442479133606,1.0062705278396606,77.0086669921875,97.1519546508789,154.02310180664062,36.37487030029297,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.002901315689087,1.0062663555145264,76.89161682128906,97.42527770996094,153.99754333496094,36.367332458496094,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0030517578125,1.0062655210494995,76.7754135131836,97.69116973876952,154.01536560058594,36.39904022216797,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0034972429275513,1.0062568187713623,76.6793212890625,97.90064239501952,154.12794494628906,36.37372589111328,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0034030675888062,1.006252646446228,76.58311462402344,98.07275390625,154.39109802246094,36.41069793701172,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.0036803483963013,1.0062389373779297,76.48639678955078,98.21804809570312,154.8748016357422,36.399322509765625,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.003409504890442,1.0062344074249268,76.39765930175781,98.2915267944336,155.4179229736328,36.421783447265625,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0035306215286257,1.0062367916107178,76.29180908203125,98.3483657836914,156.18507385253906,36.39122009277344,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0038081407546997,1.0062342882156372,76.2040786743164,98.40985107421876,156.86056518554688,36.41396331787109,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0039608478546145,1.006237268447876,76.11663818359375,98.48065185546876,157.54429626464844,36.36164093017578,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0046011209487915,1.0062389373779297,76.0247802734375,98.56706237792967,158.11512756347656,36.40685272216797,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.004831075668335,1.0062364339828491,75.950439453125,98.6978530883789,158.6216583251953,36.35851287841797,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0049035549163818,1.006239414215088,75.87174987792969,98.85220336914062,159.0988006591797,36.36320495605469,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.005763292312622,1.006239652633667,75.79664611816406,99.0345687866211,159.49490356445312,36.356101989746094,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0055466890335083,1.006247878074646,75.72261810302734,99.22708129882812,159.84263610839844,36.380836486816406,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0061349868774414,1.0062497854232788,75.6549301147461,99.43551635742188,160.16600036621094,36.325958251953125,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0066543817520142,1.0062564611434937,75.60740661621094,99.6394500732422,160.41656494140625,36.35880279541016,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.00679612159729,1.0062583684921265,75.53319549560547,99.90379333496094,160.6676483154297,36.365196228027344,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0074306726455688,1.0062589645385742,75.47305297851562,100.11852264404295,160.88343811035156,36.3905029296875,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0072814226150513,1.0062620639801023,75.421875,100.37952423095705,161.0594024658203,36.3792724609375,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0072497129440308,1.0062674283981323,75.36952209472656,100.625244140625,161.21240234375,36.43571472167969,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.007728099822998,1.006267786026001,75.30924224853516,100.86454010009766,161.35052490234375,36.42135620117188,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0077232122421265,1.00627601146698,75.2590560913086,101.11310577392578,161.47784423828125,36.46159362792969,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0081169605255127,1.00627601146698,75.21868896484375,101.3131866455078,161.65911865234375,36.439697265625,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.0081104040145874,1.0062860250473022,75.17626190185547,101.48226165771484,161.99436950683594,36.45917510986328,4,False,True,False,True,False,False,False,True,True,136,100,210,100
1.008164882659912,1.0062936544418335,75.13701629638672,101.60885620117188,162.46365356445312,36.45604705810547,4,False,True,False,True,False,False,False,False,False,136,100,210,100
1.0079885721206665,1.0062973499298096,75.10165405273438,101.69064331054688,163.07730102539062,36.48306274414063,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0077298879623413,1.0062918663024902,75.06021881103516,101.74414825439452,163.8349151611328,36.47069549560547,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.007715344429016,1.0062803030014038,75.02558898925781,101.77045440673828,164.6354522705078,36.47936248779297,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0081738233566284,1.0062748193740845,74.98916625976562,101.81597900390624,165.3444366455078,36.44794464111328,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0087697505950928,1.0062824487686155,74.95743560791016,101.8784637451172,165.98667907714844,36.50395965576172,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0093804597854614,1.0062832832336426,74.92484283447266,101.98749542236328,166.6039581298828,36.48164367675781,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0100412368774414,1.0062906742095947,74.89348602294922,102.11856079101562,167.10784912109375,36.49870300292969,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0099111795425415,1.006289839744568,74.86536407470703,102.27362823486328,167.5881805419922,36.47737884521485,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0099828243255615,1.0062856674194336,74.8483657836914,102.4502944946289,167.97613525390625,36.53211212158203,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0105640888214111,1.0062766075134275,74.82947540283203,102.62511444091795,168.2971649169922,36.51092529296875,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.0107277631759644,1.0062720775604248,74.80816650390625,102.842529296875,168.64556884765625,36.559837341308594,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.010991454124451,1.0062628984451294,74.79181671142578,103.0583267211914,168.9027099609375,36.49699401855469,4,False,True,False,True,False,False,True,False,False,136,100,210,100
1.011408448219299,1.0062520503997805,74.78237915039062,103.30747985839844,169.1555633544922,36.53822326660156,4,False,True,False,True,False,False,True,False,False,136,100,210,100
